appid,discount,initial_price,price
5091,0,0,"0,00"
5094,0,0,"0,00"
5098,0,0,"0,00"
5097,0,0,"0,00"
5099,0,0,"0,00"
5096,0,0,"0,00"
5100,0,0,"0,00"
5102,0,0,"0,00"
5101,0,0,"0,00"
5104,0,0,"0,00"
5103,0,0,"0,00"
5107,0,0,"0,00"
5105,0,0,"0,00"
5106,0,0,"0,00"
5113,0,0,"0,00"
5108,0,0,"0,00"
5112,0,0,"0,00"
5109,0,0,"0,00"
5111,0,0,"0,00"
5116,0,0,"0,00"
5115,0,0,"0,00"
5118,0,0,"0,00"
5117,0,0,"0,00"
5120,0,0,"0,00"
5114,0,0,"0,00"
5119,0,0,"0,00"
5121,0,0,"0,00"
5122,0,0,"0,00"
5125,0,0,"0,00"
5124,0,0,"0,00"
5123,0,0,"0,00"
5126,0,0,"0,00"
5127,0,0,"0,00"
5128,0,0,"0,00"
5130,0,0,"0,00"
5129,0,0,"0,00"
5131,0,0,"0,00"
5134,0,0,"0,00"
5133,0,0,"0,00"
5132,0,0,"0,00"
5135,0,0,"0,00"
5136,0,0,"0,00"
5137,0,0,"0,00"
5140,0,0,"0,00"
5139,0,0,"0,00"
5138,0,0,"0,00"
5141,0,0,"0,00"
5142,0,0,"0,00"
5143,0,0,"0,00"
5144,0,0,"0,00"
5146,0,0,"0,00"
5145,0,0,"0,00"
5147,0,0,"0,00"
5149,0,0,"0,00"
5150,0,0,"0,00"
5151,0,0,"0,00"
5153,0,0,"0,00"
5155,0,0,"0,00"
5152,0,0,"0,00"
5154,0,0,"0,00"
5158,0,0,"0,00"
5157,0,0,"0,00"
5159,0,0,"0,00"
5161,0,0,"0,00"
5163,0,0,"0,00"
5160,0,0,"0,00"
5162,0,0,"0,00"
5164,0,0,"0,00"
5165,0,0,"0,00"
5166,0,0,"0,00"
5169,0,0,"0,00"
5168,0,0,"0,00"
5167,0,0,"0,00"
5170,0,0,"0,00"
5172,0,0,"0,00"
5178,0,0,"0,00"
5174,0,0,"0,00"
5173,0,0,"0,00"
5181,0,0,"0,00"
5177,0,0,"0,00"
5180,0,0,"0,00"
5179,0,0,"0,00"
5182,0,0,"0,00"
5175,0,0,"0,00"
5183,0,0,"0,00"
5184,0,0,"0,00"
5185,0,0,"0,00"
5186,0,0,"0,00"
5188,0,0,"0,00"
5187,0,0,"0,00"
5189,0,0,"0,00"
5190,0,0,"0,00"
5191,0,0,"0,00"
5192,0,0,"0,00"
5193,0,0,"0,00"
5196,0,0,"0,00"
5195,0,0,"0,00"
5194,0,0,"0,00"
5198,0,0,"0,00"
5199,0,0,"0,00"
5197,0,0,"0,00"
5200,0,0,"0,00"
5204,0,0,"0,00"
5203,0,0,"0,00"
5201,0,0,"0,00"
5202,0,0,"0,00"
5206,0,0,"0,00"
5205,0,0,"0,00"
5208,0,0,"0,00"
5209,0,0,"0,00"
5207,0,0,"0,00"
5210,0,0,"0,00"
5211,0,0,"0,00"
5212,0,0,"0,00"
5214,0,0,"0,00"
5216,0,0,"0,00"
5215,0,0,"0,00"
5218,0,0,"0,00"
5219,0,0,"0,00"
5217,0,0,"0,00"
5213,0,0,"0,00"
5221,0,0,"0,00"
5220,0,0,"0,00"
5222,0,0,"0,00"
5223,0,0,"0,00"
5231,0,0,"0,00"
5227,0,0,"0,00"
5232,0,0,"0,00"
5233,0,0,"0,00"
5234,0,0,"0,00"
5235,0,0,"0,00"
5236,0,0,"0,00"
5237,0,0,"0,00"
5238,0,0,"0,00"
5239,0,0,"0,00"
5240,0,0,"0,00"
5243,0,0,"0,00"
5241,0,0,"0,00"
5245,0,0,"0,00"
5246,0,0,"0,00"
5242,0,0,"0,00"
5244,0,0,"0,00"
5248,0,0,"0,00"
5249,0,0,"0,00"
5247,0,0,"0,00"
5250,0,0,"0,00"
5252,0,0,"0,00"
5251,0,0,"0,00"
5253,0,0,"0,00"
5254,0,0,"0,00"
5255,0,0,"0,00"
5257,0,0,"0,00"
5256,0,0,"0,00"
5258,0,0,"0,00"
5260,0,0,"0,00"
5259,0,0,"0,00"
5261,0,0,"0,00"
5266,0,0,"0,00"
5263,0,0,"0,00"
5262,0,0,"0,00"
5265,0,0,"0,00"
5267,0,0,"0,00"
5268,0,0,"0,00"
5272,0,0,"0,00"
5270,0,0,"0,00"
5271,0,0,"0,00"
5269,0,0,"0,00"
5274,0,0,"0,00"
5273,0,0,"0,00"
5276,0,0,"0,00"
5275,0,0,"0,00"
5277,0,0,"0,00"
5278,0,0,"0,00"
5279,0,0,"0,00"
5280,0,0,"0,00"
5281,0,0,"0,00"
5282,0,0,"0,00"
5283,0,0,"0,00"
5285,0,0,"0,00"
5284,0,0,"0,00"
5286,0,0,"0,00"
5287,0,0,"0,00"
5289,0,0,"0,00"
5292,0,0,"0,00"
5290,0,0,"0,00"
5288,0,0,"0,00"
5291,0,0,"0,00"
5295,0,0,"0,00"
5293,0,0,"0,00"
5294,0,0,"0,00"
5296,0,0,"0,00"
5297,0,0,"0,00"
5299,0,0,"0,00"
5298,0,0,"0,00"
5300,0,0,"0,00"
5301,0,0,"0,00"
5303,0,0,"0,00"
5304,0,0,"0,00"
5305,0,0,"0,00"
5311,0,0,"0,00"
5310,0,0,"0,00"
5309,0,0,"0,00"
5306,0,0,"0,00"
5312,0,0,"0,00"
5317,0,0,"0,00"
5320,0,0,"0,00"
5319,0,0,"0,00"
5316,0,0,"0,00"
5315,0,0,"0,00"
5322,0,0,"0,00"
5321,0,0,"0,00"
5324,0,0,"0,00"
