2025-08-18 01:38:08 | MainProcess | INFO | Proxy validation progress: checked=32000/35664 good=4
2025-08-18 01:38:13 | MainProcess | INFO | Proxy validation progress: checked=32500/35664 good=4
2025-08-18 01:38:18 | MainProcess | INFO | Proxy validation progress: checked=33000/35664 good=4
2025-08-18 01:38:23 | MainProcess | INFO | Proxy validation progress: checked=33500/35664 good=4
2025-08-18 01:38:28 | MainProcess | INFO | Proxy validation progress: checked=34000/35664 good=4
2025-08-18 01:38:32 | MainProcess | INFO | Proxy validation progress: checked=34500/35664 good=4
2025-08-18 01:38:38 | MainProcess | INFO | Proxy validation progress: checked=35000/35664 good=4
2025-08-18 01:38:42 | MainProcess | INFO | Proxy validation progress: checked=35500/35664 good=4
2025-08-18 01:38:44 | MainProcess | INFO | Proxy validation progress: checked=35664/35664 good=4
2025-08-18 01:38:44 | MainProcess | INFO | Validation complete: 4 proxies valid for Steam (requested max 5000).
2025-08-18 01:38:44 | MainProcess | INFO | Using 4 validated proxies for crawling.
2025-08-18 01:38:46 | MainProcess | INFO | Spawned worker 0 (games=56528 proxies=1)
2025-08-18 01:38:47 | MainProcess | INFO | Spawned worker 1 (games=56528 proxies=1)
2025-08-18 01:38:49 | MainProcess | INFO | Spawned worker 2 (games=56528 proxies=1)
2025-08-18 01:38:50 | MainProcess | INFO | Spawned worker 3 (games=56528 proxies=1)
