2025-08-14 01:38:50 | Process-4 | INFO | App 1931410: collected 0 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1931450: collected 0 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1931330: collected 0 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1931460: collected 0 reviews.
2025-08-14 01:38:51 | Process-4 | INFO | Timeout -> backoff 1.5s
2025-08-14 01:38:51 | Process-4 | INFO | Marking proxy for removal due to repeated failures: http://165.225.113.220:11462
2025-08-14 01:38:51 | Process-4 | INFO | Request exception: 403, message='Forbidden', url=URL('http://165.225.113.220:11462') -> backoff 3.0s
2025-08-14 01:38:51 | Process-4 | INFO | App 1931480: collected 0 reviews.
2025-08-14 01:38:51 | Process-4 | INFO | App 1931440: collected 6 reviews.
2025-08-14 01:38:51 | Process-4 | INFO | App 1931490: collected 5 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1931380: collected 72 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1931370: collected 7 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1931470: collected 10 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1930570: collected 0 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1931610: collected 0 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1931400: collected 1 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1931510: collected 92 reviews.
2025-08-14 01:38:52 | Process-4 | INFO | App 1931650: collected 0 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931540: collected 2 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931660: collected 0 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931550: collected 1 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931640: collected 5 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931700: collected 0 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931600: collected 70 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931630: collected 1 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931620: collected 2 reviews.
2025-08-14 01:38:53 | Process-4 | INFO | App 1931740: collected 0 reviews.
2025-08-14 01:38:54 | Process-4 | INFO | App 1931690: collected 100 reviews.
2025-08-14 01:38:54 | Process-4 | INFO | App 1931680: collected 22 reviews.
2025-08-14 01:38:54 | Process-4 | INFO | App 1931710: collected 29 reviews.
2025-08-14 01:38:54 | Process-4 | INFO | App 1931820: collected 0 reviews.
2025-08-14 01:38:55 | Process-4 | INFO | App 1931730: collected 100 reviews.
2025-08-14 01:38:55 | Process-4 | INFO | App 1931750: collected 28 reviews.
2025-08-14 01:38:55 | Process-4 | INFO | App 1931860: collected 0 reviews.
2025-08-14 01:38:55 | Process-4 | INFO | App 1931720: collected 10 reviews.
2025-08-14 01:38:55 | Process-4 | INFO | App 1931830: collected 4 reviews.
2025-08-14 01:38:55 | Process-4 | INFO | App 1931780: collected 40 reviews.
2025-08-14 01:38:55 | Process-4 | INFO | App 1931770: collected 100 reviews.
2025-08-14 01:38:56 | Process-4 | INFO | App 1931900: collected 0 reviews.
2025-08-14 01:38:56 | Process-4 | INFO | App 1931930: collected 0 reviews.
2025-08-14 01:38:56 | Process-4 | INFO | App 1931840: collected 43 reviews.
2025-08-14 01:38:56 | Process-4 | INFO | App 1931850: collected 19 reviews.
2025-08-14 01:38:56 | Process-4 | INFO | App 1931890: collected 9 reviews.
2025-08-14 01:38:56 | Process-4 | INFO | App 1931870: collected 11 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1931960: collected 15 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1932040: collected 0 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1931910: collected 100 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1931940: collected 100 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1932050: collected 0 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1932070: collected 0 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1931980: collected 22 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1932080: collected 0 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1931950: collected 100 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1932090: collected 0 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1931970: collected 9 reviews.
2025-08-14 01:38:57 | Process-4 | INFO | App 1932120: collected 0 reviews.
2025-08-14 01:38:58 | Process-4 | INFO | App 1931990: collected 57 reviews.
2025-08-14 01:38:58 | Process-4 | INFO | App 1932140: collected 0 reviews.
2025-08-14 01:38:58 | Process-4 | INFO | App 1932150: collected 0 reviews.
2025-08-14 01:38:58 | Process-4 | INFO | App 1932190: collected 0 reviews.
